"Ranks","Titles","Release.Date","Price","Score","Player.Ratings","Number.of.Votes"
" 103","VA-11 Hall-A: Cyberpunk Bartender Action","21 Jun 2016","$14.99","8.57","97%","34,979"
" 104","Sheepy: A Short Adventure","6 Feb 2024","Free","8.57","99%","12,027"
" 105","Dying Light","26 Jan 2015","$29.99","8.57","95%","435,835"
" 106","Grimm's Hollow","30 Oct 2019","Free","8.57","99%","13,500"
" 107","Pineapple on pizza","28 Mar 2023","Free","8.56","98%","22,947"
" 108","Touhou Mystia's Izakaya","1 Oct 2021","$5.99","8.56","98%","24,696"
" 109","Castle Crashers®","26 Sep 2012","$14.99","8.56","96%","118,881"
" 110","GRIS","13 Dec 2018","$14.99","8.56","97%","77,368"
" 111","Neon White","16 Jun 2022","$24.99","8.56","98%","16,081"
" 112","Sekiro™: Shadows Die Twice - GOTY Edition","21 Mar 2019","$59.99","8.56","95%","303,256"
" 113","The WereCleaner","7 May 2024","Free","8.56","100%","6,517"
" 114","SANABI","8 Nov 2023","$14.99","8.56","97%","30,674"
" 115","Hi-Fi RUSH","25 Jan 2023","$29.99","8.55","97%","32,133"
" 116","Half-Life 2: Episode Two","10 Oct 2007","$7.99","8.55","97%","41,832"
" 117","There Is No Game: Wrong Dimension","6 Aug 2020","$12.99","8.55","98%","22,353"
" 118","VTOL VR","3 Aug 2017","$29.99","8.55","98%","17,676"
" 119","Blade and Sorcery","17 Jun 2024","$29.99","8.55","97%","53,824"
" 120","PowerWash Simulator","14 Jul 2022","$24.99","8.55","97%","48,370"
" 121","Baba Is You","13 Mar 2019","$14.99","8.55","98%","20,835"
" 122","To the Moon","1 Nov 2011","$9.99","8.54","96%","77,462"
" 123","Devil May Cry 5","7 Mar 2019","$29.99","8.54","96%","131,821"
" 124","Titanfall® 2","28 Oct 2016","$29.99","8.54","95%","237,765"
" 125","TOEM: A Photo Adventure","17 Sep 2021","$19.99","8.54","99%","7,064"
" 126","Placid Plastic Duck Simulator","6 Jul 2022","$1.99","8.54","98%","15,477"
" 127","DOOM","12 May 2016","$19.99","8.54","95%","195,635"
" 128","Finding Paradise","14 Dec 2017","$9.99","8.54","98%","17,970"
" 129","The Room Two","5 Jul 2016","$4.99","8.53","98%","19,021"
" 130","One Finger Death Punch","3 Mar 2014","$4.99","8.53","98%","16,239"
" 131","Batman: Arkham Asylum Game of the Year Edition","26 Mar 2010","$19.99","8.53","96%","68,088"
" 132","Marvel’s Spider-Man Remastered","12 Aug 2022","$59.99","8.53","96%","101,515"
" 133","Just Shapes & Beats","31 May 2018","$19.99","8.53","98%","20,425"
" 134","Mirror","19 Apr 2018","$1.99","8.53","96%","86,315"
" 135","Bomb Rush Cyberfunk","18 Aug 2023","$39.99","8.53","98%","11,505"
" 136","Steam Engine Simulator","7 Jun 2023","Free","8.53","99%","7,454"
" 137","Iron Snout","27 Jan 2016","Free","8.53","98%","17,312"
" 138","DUSK","10 Dec 2018","$19.99","8.52","97%","22,475"
" 139","METAL GEAR RISING: REVENGEANCE","9 Jan 2014","$29.99","8.52","96%","78,995"
" 140","Before Your Eyes","8 Apr 2021","$9.99","8.52","98%","15,227"
" 141","The Elder Scrolls V: Skyrim","10 Nov 2011","$19.99","8.52","95%","316,428"
" 142","Left 4 Dead","17 Nov 2008","$9.99","8.52","96%","58,456"
" 143","CLANNAD","28 Apr 2004","$44.99","8.52","99%","9,101"
" 144","Stronghold Crusader HD","31 Jul 2002","$9.99","8.52","98%","18,611"
" 145","Age of Empires II (Retired)","9 Apr 2013","$19.99","8.52","96%","100,390"
" 146","Fields of Mistria","5 Aug 2024","$13.99","8.52","98%","10,890"
" 147","The Hungry Lamb: Traveling in the Late Ming Dynasty","22 Apr 2024","$9.99","8.52","97%","39,971"
" 148","Resident Evil Village","6 May 2021","$39.99","8.52","96%","112,645"
" 149","Gorogoa","14 Dec 2017","$14.99","8.51","98%","16,795"
" 150","STEINS;GATE","8 Sep 2016","$29.99","8.51","97%","18,592"
" 151","The Murder of Sonic the Hedgehog","31 Mar 2023","Free","8.51","97%","21,926"
" 152","Wobbledogs","15 Mar 2022","$19.99","8.51","98%","10,815"
" 153","Valheim","2 Feb 2021","$19.99","8.51","94%","471,756"
" 154","Batman: Arkham City - Game of the Year Edition","7 Sep 2012","$19.99","8.51","96%","64,639"
" 155","Duck Game","4 Jun 2015","$12.99","8.51","97%","37,936"
" 156","Clone Drone in the Danger Zone","27 Jul 2021","$19.99","8.51","97%","30,338"
" 157","Project Kat - Paper Lily Prologue","15 Oct 2021","Free","8.51","99%","4,988"
" 158","Keep Talking and Nobody Explodes","8 Oct 2015","$14.99","8.51","98%","14,101"
" 159","Detroit: Become Human","18 Jun 2020","$39.99","8.51","95%","135,842"
" 160","TCG Card Shop Simulator","15 Sep 2024","$12.99","8.50","97%","23,153"
